episode,total_reward,steps,avg_loss,epsilon,avg_q_value,elapsed_time,eval_reward_mean,eval_reward_std
1,-1.0704825138538787,31,nan,1.0,nan,3.1000000000000014,,
2,-1.084944358824103,25,nan,1.0,nan,2.500000000000001,,
3,-1.0868655187772691,29,12.321951674837235,0.8955869907338783,4.190376996448834,2.9000000000000012,,
4,0.4749386877066444,47,9.230820381311739,0.7076077347272662,1.8419799177707423,4.699999999999999,,
5,-0.5613606198473197,42,2.07622069226279,0.5732736268885887,-0.12242479818103183,4.200000000000001,,
6,-1.0872997915023803,26,0.9314573040467349,0.5032248303978422,-0.15823357799789908,2.600000000000001,,
7,-0.5372146711871479,38,0.8280380043489899,0.4159480862733536,-0.10771644069454464,3.800000000000002,,
8,-1.0793254317216423,21,0.8103743781406317,0.3743896431025813,0.12956223518748367,2.1000000000000005,,
9,-0.5720091450960353,25,0.7297828348660416,0.3302941218954743,0.5872592085265489,2.500000000000001,,
10,-0.5655816761948927,27,1.0701780809980523,0.2884855236625661,0.8989747028812913,2.700000000000001,,
11,-1.0809996147993406,24,0.963977080006614,0.25578670228422234,0.6397090787563494,2.400000000000001,,
12,-1.0927756480495114,32,0.8696225352677751,0.2178795886667409,0.5245965936499005,3.2000000000000015,,
13,-0.005547121757675466,58,0.7060318916393787,0.16291280823111093,0.6552696815008034,5.799999999999995,,
14,-1.0736530562391764,28,0.6139794427262552,0.14157986400593744,1.055375727516004,2.800000000000001,,
15,-0.06007506759242842,27,0.6901445861923273,0.12365869841532712,0.9827431740873659,2.700000000000001,,
16,-0.5742303770066435,61,0.565837341367896,0.09108200798387568,1.1497328269758165,6.099999999999994,,
17,0.5517344630745402,59,0.561401259519027,0.0677632708131484,1.5286745178128571,5.899999999999995,,
18,-1.080938101244904,18,0.5944042057625707,0.06191698689958447,1.6208349350789037,1.8000000000000005,,
19,-1.0698811094677538,23,0.6941675153123422,0.05517478773284426,1.8235626713214557,2.3000000000000007,,
20,-1.0816791824010854,24,0.6479932273265135,0.04892091923449087,1.7187161457981925,2.400000000000001,,
21,-0.569334921346057,31,0.5085744189957029,0.0418803316354751,1.810333027487505,3.1000000000000014,,
22,-1.0788191770439728,19,0.48985179585390953,0.038075765743545126,1.8589851937410753,1.9000000000000006,,
23,0.5488251220616733,124,0.6407646358170418,0.020450816818411825,2.1683047593525875,12.399999999999972,,
24,-0.5287669695180475,36,0.5134490703629075,0.01707424722777892,2.463612788743201,3.600000000000002,,
25,-0.0035759463164741767,46,0.598092467746054,0.013558238831322046,2.5767856661594233,4.6,,
26,-1.0760078747486144,29,0.6196433684690293,0.011723913930325095,2.627387194841903,2.9000000000000012,,
27,-0.5819849830984807,20,0.7460156547318484,0.010605575411209664,2.5986244629809483,2.0000000000000004,,
28,-1.0754875482367012,21,0.6152807204619875,0.01,2.60461817417836,2.1000000000000005,,
29,-1.0744376821372617,22,0.665218286666691,0.01,2.644924295381637,2.2000000000000006,,
30,-0.5373985430535462,30,0.6538234214931606,0.01,2.6140366882958266,3.0000000000000013,,
31,-1.083924656683211,21,0.43871938067745486,0.01,2.542318885714672,2.1000000000000005,,
32,-0.5391813926048004,30,0.6612692833346551,0.01,2.807736324705096,3.0000000000000013,,
33,-0.544860883835637,28,0.4508835333292252,0.01,2.6454607233520937,2.800000000000001,,
34,-0.5483986566150232,28,0.5915723122106018,0.01,2.840391324530549,2.800000000000001,,
35,-1.0748593443226222,21,0.5618644442296664,0.01,2.60762283977852,2.1000000000000005,,
36,-1.0725969578206909,28,0.5480374707676187,0.01,2.8111223335502666,2.800000000000001,,
37,-0.57073639565464,27,0.5879397731771734,0.01,2.717074301807857,2.700000000000001,,
38,-0.5682093624681162,32,0.47279158889031403,0.01,2.7686596584778833,3.2000000000000015,,
39,-0.5756205668061396,26,0.4927238787625248,0.01,2.910182511675447,2.600000000000001,,
40,-1.0971540033470628,15,0.6007774511735938,0.01,2.938003949461759,1.5000000000000002,,
41,-1.0767577304563063,21,0.7238125847267898,0.01,3.141367223212139,2.1000000000000005,,
42,-0.577187719500488,21,0.6671715262118432,0.01,2.983069249032556,2.1000000000000005,,
43,-0.5684864216850016,34,0.6075544514010132,0.01,2.944802532597266,3.4000000000000017,,
44,-0.5785305876481952,19,0.5697917829094635,0.01,2.998559948496586,1.9000000000000006,,
45,-0.009667558925161801,40,0.5452333242456824,0.01,3.021727275678675,4.000000000000002,,
46,0.0024234629390769147,43,0.7514049409508234,0.01,2.9885516730313886,4.300000000000001,,
47,-0.5372039910987765,30,0.5785457518761932,0.01,2.947761326588,3.0000000000000013,,
48,-0.5577985553659771,52,0.6807734772961359,0.01,2.9419852050737325,5.1999999999999975,,
49,0.004028456172481709,51,0.57296572582782,0.01,3.0097890332141284,5.099999999999998,,
50,-0.5537134677003321,27,0.5802296267261141,0.01,2.9990702315961015,2.700000000000001,-0.3800709842391359,0.2688282005044676
51,-0.5658874095328355,38,0.5281361116701663,0.01,2.9563582892810922,3.800000000000002,,
52,-0.5600064995601279,24,0.5449219366073161,0.01,2.8761063932618938,2.400000000000001,,
